tid,tournament_name,family,tournament_year,final_count,has_timestamps,ts_count,first_reg,last_reg,is_covid,is_online,snapshot_last_reg,early_bird_spike,spike_day,spike_magnitude,roster_pending
720,2016 Schenectady Open,Schenectady Open,2016.0,69,False,0,,,False,False,,False,,,False
721,2016 Cleveland Open,Cleveland Open,2016.0,190,False,0,,,False,False,,False,,,False
724,2016 Indianapolis Open,Indianapolis Open,2016.0,186,False,0,,,False,False,,False,,,False
726,2016 New York State Championship,New York State Championship,2016.0,190,False,0,,,False,False,,False,,,False
746,2016 Southern Class Championships,Southern Class Championships,2016.0,168,False,0,,,False,False,,False,,,False
747,2016 Hartford Open,Hartford Open,2016.0,86,False,0,,,False,False,,False,,,False
750,2016 Midwest Class Championships,Midwest Class Championships,2016.0,280,False,0,,,False,False,,False,,,False
751,2016 Eastern Chess Congress,Eastern Chess Congress,2016.0,279,False,0,,,False,False,,False,,,False
759,2016 Los Angeles Open,Los Angeles Open,2016.0,171,False,0,,,False,False,,False,,,False
786,2016 Central New York Open,Central New York Open,2016.0,56,False,0,,,False,False,,False,,,False
798,2016 Kings Island Open,Kings Island Open,2016.0,279,False,0,,,False,False,,False,,,False
799,2016 Stamford Open,Stamford Open,2016.0,137,False,0,,,False,False,,False,,,False
801,2016 North American Open,North American Open,2016.0,766,False,0,,,False,False,,False,,,False
802,2016 National Chess Congress,National Chess Congress,2016.0,595,False,0,,,False,False,,False,,,False
804,2016 Empire City Open,Empire City Open,2016.0,397,False,0,,,False,False,,False,,,False
829,2017 Boston Chess Congress,Boston Chess Congress,2017.0,208,False,0,,,False,False,,False,,,False
831,2017 Golden State Open,Golden State Open,2017.0,282,False,0,,,False,False,,False,,,False
835,2017 Liberty Bell Open,Liberty Bell Open,2017.0,336,False,0,,,False,False,,False,,,False
844,2017 Southwest Class,Southwest Class,2017.0,328,False,0,,,False,False,,False,,,False
858,2017 George Washington Open,George Washington Open,2017.0,197,False,0,,,False,False,,False,,,False
859,2017 New York State Scholastic Championships,New York State Scholastic Championships,2017.0,1156,False,0,,,False,False,,False,,,False
863,2017 Western Class Championships,Western Class Championships,2017.0,254,False,0,,,False,False,,False,,,False
865,2017 Mid-America Open,Mid-America Open,2017.0,306,False,0,,,False,False,,False,,,False
892,2017 Southern Class Championships,Southern Class Championships,2017.0,204,False,0,,,False,False,,False,,,False
893,2017 Philadelphia Open,Philadelphia Open,2017.0,553,False,0,,,False,False,,False,,,False
894,2017 Eastern Class Championships,Eastern Class Championships,2017.0,271,False,0,,,False,False,,False,,,False
895,2017 Chicago Open,Chicago Open,2017.0,883,False,0,,,False,False,,False,,,False
900,2017 New York State Open,New York State Open,2017.0,86,False,0,,,False,False,,False,,,False
901,2017 World Open,World Open,2017.0,1185,False,0,,,False,False,,False,,,False
902,2017 Philadelphia International,Philadelphia International,2017.0,87,False,0,,,False,False,,False,,,False
903,2017 World Open Senior,World Open Senior,2017.0,38,False,0,,,False,False,,False,,,False
904,2017 World Open Warmup,World Open Warmup,2017.0,22,False,0,,,False,False,,False,,,False
905,2017 World Open Womens Championship,World Open Womens Championship,2017.0,18,False,0,,,False,False,,False,,,False
906,2017 World Open Action,World Open Action,2017.0,36,False,0,,,False,False,,False,,,False
918,2017 Northeast Open,Northeast Open,2017.0,205,False,0,,,False,False,,False,,,False
919,2017 Continental Class Championships,Continental Class Championships,2017.0,219,False,0,,,False,False,,False,,,False
920,2017 World Open Under 13 Championship,World Open Under 13,2017.0,134,False,0,,,False,False,,False,,,False
953,2018 Pittsburgh Open,Pittsburgh Open,2018.0,130,False,0,,,False,False,,False,,,False
956,2017 Pacific Coast Open,Pacific Coast Open,2017.0,232,False,0,,,False,False,,False,,,False
959,2017 Chicago Class,Chicago Class,2017.0,382,False,0,,,False,False,,False,,,False
961,2018 Bradley Open,Bradley Open,2018.0,173,False,0,,,False,False,,False,,,False
966,2018 Peter Henner Memorial,Peter Henner Memorial,2018.0,99,False,0,,,False,False,,False,,,False
967,2018 Southern Open,Southern Open,2018.0,231,False,0,,,False,False,,False,,,False
978,2017 Continental Open,Continental Open,2017.0,350,False,0,,,False,False,,False,,,False
985,2018 Cleveland Open,Cleveland Open,2018.0,196,False,0,,,False,False,,False,,,False
986,2017 Central California Open,Central California Open,2017.0,150,False,0,,,False,False,,False,,,False
987,2018 Manhattan Open,Manhattan Open,2018.0,463,False,0,,,False,False,,False,,,False
1002,2017 Indianapolis Open,Indianapolis Open,2017.0,159,False,0,,,False,False,,False,,,False
1003,2017 Atlantic Open,Atlantic Open,2017.0,283,False,0,,,False,False,,False,,,False
1011,2017 New York State Championship,New York State Championship,2017.0,183,False,0,,,False,False,,False,,,False
1015,2017 Hartford Open,Hartford Open,2017.0,125,False,0,,,False,False,,False,,,False
1016,2017 Washington Chess Congress,Washington Chess Congress,2017.0,219,False,0,,,False,False,,False,,,False
1021,2017 North American Open,North American Open,2017.0,800,False,0,,,False,False,,False,,,False
1022,2017 Midwest Class Championships,Midwest Class Championships,2017.0,316,False,0,,,False,False,,False,,,False
1023,2017 Eastern Chess Congress,Eastern Chess Congress,2017.0,400,False,0,,,False,False,,False,,,False
1024,2017 Central New York Open,Central New York Open,2017.0,57,False,0,,,False,False,,False,,,False
1026,2017 Kings Island Open,Kings Island Open,2017.0,291,False,0,,,False,False,,False,,,False
1027,2017 National Chess Congress,National Chess Congress,2017.0,645,False,0,,,False,False,,False,,,False
1029,2017 Los Angeles Open,Los Angeles Open,2017.0,213,False,0,,,False,False,,False,,,False
1078,2017 Empire City Open,Empire City Open,2017.0,307,False,0,,,False,False,,False,,,False
1090,2017 Stamford Open,Stamford Open,2017.0,162,False,0,,,False,False,,False,,,False
1099,2018 Boston Chess Congress,Boston Chess Congress,2018.0,237,False,0,,,False,False,,False,,,False
1100,2018 Southwest Class,Southwest Class,2018.0,355,False,0,,,False,False,,False,,,False
1106,2018 Liberty Bell Open,Liberty Bell Open,2018.0,334,False,0,,,False,False,,False,,,False
1108,2018 George Washington Open,George Washington Open,2018.0,227,False,0,,,False,False,,False,,,False
1113,2018 New York State Scholastic Championships,New York State Scholastic Championships,2018.0,1229,False,0,,,False,False,,False,,,False
1124,2018 Western Class Championships,Western Class Championships,2018.0,245,False,0,,,False,False,,False,,,False
1126,2018 Southern Class Championships,Southern Class Championships,2018.0,174,False,0,,,False,False,,False,,,False
1131,2018 Golden State Open,Golden State Open,2018.0,288,False,0,,,False,False,,False,,,False
1154,2018 Mid-America Open,Mid-America Open,2018.0,268,False,0,,,False,False,,False,,,False
1161,2018 Philadelphia Open,Philadelphia Open,2018.0,527,False,0,,,False,False,,False,,,False
1173,2018 Chicago Open,Chicago Open,2018.0,829,False,0,,,False,False,,False,,,False
1174,2018 World Open,World Open,2018.0,1149,False,0,,,False,False,,False,,,False
1175,2018 Philadelphia International,Philadelphia International,2018.0,151,False,0,,,False,False,,False,,,False
1176,2018 World Open Senior Amateur,World Open Senior Amateur,2018.0,45,False,0,,,False,False,,False,,,False
1177,2018 World Open Womens Championship,World Open Womens Championship,2018.0,18,False,0,,,False,False,,False,,,False
1178,2018 World Open Action,World Open Action,2018.0,35,False,0,,,False,False,,False,,,False
1186,2018 World Open Under 13 Championship,World Open Under 13,2018.0,156,False,0,,,False,False,,False,,,False
1187,2018 Bill Little Memorial,Bill Little Memorial,2018.0,58,False,0,,,False,False,,False,,,False
1209,2018 Continental Class Championships,Continental Class Championships,2018.0,236,False,0,,,False,False,,False,,,False
1212,2018 Eastern Class Championships,Eastern Class Championships,2018.0,278,False,0,,,False,False,,False,,,False
1213,2018 New York State Open and Senior,New York State Open and Senior,2018.0,94,False,0,,,False,False,,False,,,False
1219,2018 Northeast Open,Northeast Open,2018.0,172,False,0,,,False,False,,False,,,False
1223,2018 Continental Open,Continental Open,2018.0,292,False,0,,,False,False,,False,,,False
1225,2018 Chicago Class,Chicago Class,2018.0,337,False,0,,,False,False,,False,,,False
1232,2018 Pacific Coast Open,Pacific Coast Open,2018.0,245,False,0,,,False,False,,False,,,False
