family,year,start_date,end_date,early_bird_deadline,early_bird_fee,regular_fee,onsite_fee,venue_city,venue_state
Chicago Open,2025,2025-05-22,2025-05-26,2025-03-20,197.0,217.0,240.0,Wheeling,IL
Chicago Open,2026,2026-05-21,2026-05-25,2026-03-19,207.0,227.0,250.0,Wheeling,IL
Chicago Open Blitz,2023,2023-05-26,2023-05-29,,,,,,
Chicago Open Blitz,2024,2024-05-24,2024-05-27,,,,,,
Chicago Open Blitz,2025,2025-05-23,2025-05-26,,,,,,
Chicago Open Blitz,2026,2026-05-24,2026-05-24,,,,,,Illinois
Cleveland Open,2025,2025-06-06,2025-06-08,2025-06-03,88.0,105.0,105.0,Independence,OH
Cleveland Open,2026,2026-06-05,2026-06-07,2026-06-02,93.0,110.0,110.0,Independence,OH
Continental Action,2022,2022-07-21,2022-07-24,,,,,,
Continental Class,2023,2023-06-15,2023-06-18,,,,,,
Continental Open,2021,2021-08-12,2021-08-15,,,,,,
Continental Open,2022,2022-07-28,2022-07-31,,,,,,
Continental Open,2023,2023-07-13,2023-07-16,,,,,,
Continental Open,2024,2024-08-15,2024-08-18,,,,,,
Continental Open,2025,2025-08-13,2025-08-16,,,,,,
Continental Open,2026,2026-08-13,2026-08-16,,,,,,Massachusetts
DC International,2026,2026-06-25,2026-06-29,,,,,,District Of Columbia
DC Open,2026,2026-06-26,2026-06-28,,,,,,District Of Columbia
December Action,2022,2022-12-15,2022-12-18,,,,,,
December Celebration,2023,2023-12-07,2023-12-10,,,,,,
December Open,2021,2021-12-02,2021-12-05,,,,,,
December Open,2022,2022-12-01,2022-12-04,,,,,,
Eastern Action,2022,2022-04-21,2022-04-24,,,,,,
Eastern Chess Congress,2021,2021-09-30,2021-10-03,,,,,,
Eastern Chess Congress,2022,2022-10-27,2022-10-30,,,,,,
Eastern Chess Congress,2023,2023-10-26,2023-10-29,,,,,,
Eastern Chess Congress,2024,2024-10-24,2024-10-27,,,,,,
Eastern Chess Congress,2025,2025-10-23,2025-10-26,,,,,,
Eastern Chess Congress (in New Jersey),2026,2026-10-23,2026-10-25,,,,,,New Jersey
Eastern Chess Congress Action,2022,2022-10-20,2022-10-23,,,,,,
Eastern Chess Congress Warmup,2021,2021-09-23,2021-09-26,,,,,,
Eastern Class,2022,2022-04-28,2022-05-01,,,,,,
Eastern Class,2023,2023-03-16,2023-03-19,,,,,,
Eastern Class,2024,2024-06-06,2024-06-09,,,,,,
Eastern Class,2025,2025-06-05,2025-06-08,,,,,,
Eastern Class Championships (in Connecticut),2026,2026-10-16,2026-10-18,,,,,,Alabama
Eastern Open,2022,2022-12-26,2022-12-29,,,,,,
Eastern Open,2023,2023-12-25,2023-12-28,,,,,,
Eastern Open,2024,2024-12-26,2024-12-29,,,,,,
Eastern Open,2025,2025-12-25,2025-12-28,,,,,,
Empire State Open,2021,2021-12-25,2021-12-28,,,,,,
FIDE U2400 at Foxwoods,2022,2022-04-13,2022-04-16,,,,,,
February Action,2023,2023-02-23,2023-02-26,,,,,,
February Classic,2024,2024-02-08,2024-02-11,,,,,,
February Open,2022,2022-02-24,2022-02-27,,,,,,
February Open,2023,2023-02-02,2023-02-05,,,,,,
George Washington Open,2023,2023-02-23,2023-02-26,,,,,,
George Washington Open,2024,2024-02-22,2024-02-25,,,,,,
George Washington Open,2025,2025-02-20,2025-02-23,,,,,,
George Washington Open,2026,2026-02-26,2026-03-01,,,,,,
George Washington Saturday Octos,2026,2026-01-23,2026-01-26,,,,,,
George Washington Sunday Octos,2026,2026-02-26,2026-03-01,,,,,,
Golden State Action,2022,2022-01-06,2022-01-09,,,,,,
Golden State Open,2022,2022-01-13,2022-01-16,,,,,,
Golden State Open,2023,2023-01-13,2023-01-16,,,,,,
Golden State Open,2024,2024-01-12,2024-01-15,,,,,,
Golden State Open,2025,2025-01-16,2025-01-19,,108.0,128.0,140.0,Los Angeles,CA
Golden State Open,2026,2026-01-16,2026-01-19,,118.0,138.0,150.0,Los Angeles,CA
Halloween Open,2021,2021-10-28,2021-10-31,,,,,,
Hartford Open,2022,2022-10-13,2022-10-16,,,,,,
Hartford Open,2023,2023-10-05,2023-10-08,,,,,,
Hartford Open,2024,2024-10-17,2024-10-20,,,,,,
Hartford Open,2025,2025-10-09,2025-10-12,,,,,,
Hartford Open,2026,2026-06-05,2026-06-07,,,,,,CT
ICC August Rapid,2022,2022-08-11,2022-08-14,,,,,,
ICC March G 60,2023,2023-03-16,2023-03-19,,,,,,
ICC September Rapid,2022,2022-09-15,2022-09-18,,,,,,
Indianapolis Open,2021,2021-08-25,2021-08-28,,,,,,
Indianapolis Open,2022,2022-08-25,2022-08-28,,,,,,
Indianapolis Open,2023,2023-08-24,2023-08-27,,,,,,
Indianapolis Open,2024,2024-08-22,2024-08-25,,,,,,
Indianapolis Open,2025,2025-08-21,2025-08-24,,,,,,
Indianapolis Open,2026,2026-08-21,2026-08-23,,,,,,Indiana
January Action,2023,2023-01-19,2023-01-22,,,,,,
January Classic,2024,2024-01-11,2024-01-14,,,,,,
January Game 60,2022,2022-01-20,2022-01-23,,,,,,
January Open,2022,2022-01-27,2022-01-30,,,,,,
January Open,2023,2023-01-05,2023-01-08,,,,,,
July Action,2023,2023-07-20,2023-07-23,,,,,,
July Open,2022,2022-07-07,2022-07-10,,,,,,
July Open,2023,2023-07-06,2023-07-09,,,,,,
June Action,2023,2023-06-15,2023-06-18,,,,,,
June Open,2022,2022-06-02,2022-06-05,,,,,,
June Open,2023,2023-06-01,2023-06-04,,,,,,
Kings Island Open,2021,2021-11-11,2021-11-14,,,,,,
Kings Island Open,2022,2022-11-10,2022-11-13,,,,,,
Kings Island Open,2023,2023-11-09,2023-11-12,,,,,,
Kings Island Open,2024,2024-11-14,2024-11-17,,,,,,
Kings Island Open,2025,2025-11-13,2025-11-16,,,,,,
Kings Island Open,2026,2026-11-13,2026-11-15,,,,,,Ohio
Kings Island Open Warmup,2021,2021-11-04,2021-11-07,,,,,,
Liberty Bell Action,2022,2021-12-31,2022-01-03,,,,,,
Liberty Bell Open,2024,2024-01-12,2024-01-15,2024-01-09,128.0,148.0,160.0,Philadelphia,PA
Liberty Bell Open,2025,2025-01-17,2025-01-20,2025-01-14,128.0,148.0,160.0,Philadelphia,PA
Liberty Bell Open,2026,2026-01-16,2026-01-19,2026-01-13,138.0,158.0,170.0,Philadelphia,PA
Los Angeles Open,2021,2021-11-04,2021-11-07,,,,,,
Los Angeles Open,2022,2022-11-03,2022-11-06,,,,,,
Los Angeles Open,2023,2023-11-02,2023-11-05,,,,,,
Los Angeles Open,2024,2024-10-31,2024-11-03,,,,,,
Los Angeles Open,2025,2025-11-06,2025-11-09,,,,,,
Los Angeles Open,2026,2026-11-06,2026-11-08,,,,,,California
March Classic,2024,2024-03-07,2024-03-10,,,,,,
March Game 60,2022,2022-03-24,2022-03-27,,,,,,
March Open,2022,2022-03-10,2022-03-13,,,,,,
March Open,2023,2023-03-02,2023-03-05,,,,,,
May Action,2023,2023-05-18,2023-05-21,,,,,,
May Open,2022,2022-05-05,2022-05-08,,,,,,
