tid,T,daily_regs,cum_regs,cum_pct
3861,1,16,372,0.9514066496163683
3861,0,19,391,1.0
3862,174,1,1,0.0037735849056603774
3862,97,1,2,0.007547169811320755
3862,75,1,3,0.011320754716981131
3862,69,1,4,0.01509433962264151
3862,68,2,6,0.022641509433962263
3862,65,1,7,0.026415094339622643
3862,63,2,9,0.033962264150943396
3862,61,2,11,0.04150943396226415
3862,59,1,12,0.045283018867924525
3862,58,1,13,0.04905660377358491
3862,57,1,14,0.052830188679245285
3862,52,1,15,0.05660377358490566
3862,50,1,16,0.06037735849056604
3862,44,2,18,0.06792452830188679
3862,42,2,20,0.07547169811320754
3862,41,1,21,0.07924528301886792
3862,38,1,22,0.0830188679245283
3862,36,1,23,0.08679245283018867
3862,35,1,24,0.09056603773584905
3862,34,1,25,0.09433962264150944
3862,33,2,27,0.1018867924528302
3862,30,1,28,0.10566037735849057
3862,27,1,29,0.10943396226415095
3862,25,1,30,0.11320754716981132
3862,24,1,31,0.1169811320754717
3862,23,2,33,0.12452830188679245
3862,21,1,34,0.12830188679245283
3862,19,5,39,0.1471698113207547
3862,18,5,44,0.1660377358490566
3862,17,5,49,0.18490566037735848
3862,16,5,54,0.2037735849056604
3862,15,5,59,0.22264150943396227
3862,14,2,61,0.23018867924528302
3862,13,4,65,0.24528301886792453
3862,12,7,72,0.27169811320754716
3862,11,5,77,0.29056603773584905
3862,10,4,81,0.30566037735849055
3862,9,8,89,0.33584905660377357
3862,8,7,96,0.3622641509433962
3862,7,9,105,0.39622641509433965
3862,6,8,113,0.42641509433962266
3862,5,15,128,0.4830188679245283
3862,4,44,172,0.6490566037735849
3862,3,48,220,0.8301886792452831
3862,2,23,243,0.9169811320754717
3862,1,15,258,0.9735849056603774
3862,0,7,265,1.0
3863,152,1,1,0.004201680672268907
3863,145,1,2,0.008403361344537815
3863,81,1,3,0.012605042016806723
3863,74,2,5,0.02100840336134454
3863,68,1,6,0.025210084033613446
3863,65,1,7,0.029411764705882353
3863,63,2,9,0.037815126050420166
3863,59,2,11,0.046218487394957986
3863,49,1,12,0.05042016806722689
3863,47,1,13,0.0546218487394958
3863,46,2,15,0.06302521008403361
3863,40,1,16,0.06722689075630252
3863,39,4,20,0.08403361344537816
3863,35,1,21,0.08823529411764706
3863,32,4,25,0.10504201680672269
3863,30,1,26,0.1092436974789916
3863,29,1,27,0.1134453781512605
3863,28,1,28,0.11764705882352941
3863,27,1,29,0.12184873949579832
3863,26,3,32,0.13445378151260504
3863,25,7,39,0.1638655462184874
3863,24,3,42,0.17647058823529413
3863,23,1,43,0.18067226890756302
3863,22,5,48,0.20168067226890757
3863,21,1,49,0.20588235294117646
3863,20,2,51,0.21428571428571427
3863,19,6,57,0.23949579831932774
3863,18,4,61,0.25630252100840334
3863,17,3,64,0.2689075630252101
3863,16,4,68,0.2857142857142857
3863,15,6,74,0.31092436974789917
3863,14,5,79,0.3319327731092437
3863,13,3,82,0.3445378151260504
3863,12,1,83,0.3487394957983193
3863,11,5,88,0.3697478991596639
3863,10,6,94,0.3949579831932773
3863,9,6,100,0.42016806722689076
3863,8,6,106,0.44537815126050423
3863,7,11,117,0.49159663865546216
3863,6,14,131,0.5504201680672269
3863,5,14,145,0.6092436974789915
3863,4,23,168,0.7058823529411765
3863,3,31,199,0.8361344537815126
3863,2,6,205,0.8613445378151261
3863,1,11,216,0.907563025210084
3863,0,22,238,1.0
3864,184,1,1,0.0028735632183908046
3864,153,1,2,0.005747126436781609
3864,116,1,3,0.008620689655172414
3864,113,1,4,0.011494252873563218
3864,110,1,5,0.014367816091954023
3864,105,1,6,0.017241379310344827
3864,93,1,7,0.020114942528735632
3864,75,1,8,0.022988505747126436
3864,70,1,9,0.02586206896551724
3864,69,1,10,0.028735632183908046
3864,68,1,11,0.031609195402298854
3864,67,1,12,0.034482758620689655
3864,62,1,13,0.03735632183908046
3864,61,1,14,0.040229885057471264
3864,58,1,15,0.04310344827586207
3864,56,1,16,0.04597701149425287
3864,55,4,20,0.05747126436781609
3864,54,2,22,0.06321839080459771
3864,53,1,23,0.06609195402298851
3864,48,2,25,0.07183908045977011
3864,47,1,26,0.07471264367816093
3864,45,3,29,0.08333333333333333
3864,44,1,30,0.08620689655172414
3864,42,1,31,0.08908045977011494
3864,41,1,32,0.09195402298850575
3864,38,2,34,0.09770114942528736
3864,37,1,35,0.10057471264367816
3864,34,1,36,0.10344827586206896
3864,33,5,41,0.11781609195402298
3864,31,4,45,0.12931034482758622
3864,30,6,51,0.14655172413793102
3864,29,2,53,0.15229885057471265
3864,28,2,55,0.15804597701149425
3864,27,3,58,0.16666666666666666
3864,26,6,64,0.1839080459770115
3864,25,2,66,0.1896551724137931
3864,24,3,69,0.19827586206896552
3864,23,7,76,0.21839080459770116
3864,22,3,79,0.22701149425287356
3864,21,2,81,0.23275862068965517
3864,20,5,86,0.2471264367816092
3864,19,6,92,0.26436781609195403
3864,18,5,97,0.27873563218390807
3864,17,4,101,0.29022988505747127
3864,16,4,105,0.3017241379310345
3864,15,4,109,0.3132183908045977
3864,14,2,111,0.31896551724137934
3864,13,5,116,0.3333333333333333
3864,12,7,123,0.35344827586206895
3864,11,8,131,0.3764367816091954
3864,10,15,146,0.41954022988505746
3864,9,6,152,0.4367816091954023
3864,8,10,162,0.46551724137931033
3864,7,10,172,0.4942528735632184
3864,6,21,193,0.5545977011494253
3864,5,31,224,0.6436781609195402
3864,4,59,283,0.8132183908045977
3864,3,18,301,0.8649425287356322
3864,2,13,314,0.9022988505747126
3864,1,27,341,0.9798850574712644
3864,0,7,348,1.0
3874,82,1,1,0.013157894736842105
3874,56,1,2,0.02631578947368421
3874,48,1,3,0.039473684210526314
3874,45,7,10,0.13157894736842105
3874,39,1,11,0.14473684210526316
3874,31,4,15,0.19736842105263158
3874,28,1,16,0.21052631578947367
3874,25,2,18,0.23684210526315788
3874,21,3,21,0.27631578947368424
3874,20,1,22,0.2894736842105263
3874,15,2,24,0.3157894736842105
3874,14,3,27,0.35526315789473684
3874,13,2,29,0.3815789473684211
3874,12,3,32,0.42105263157894735
3874,11,1,33,0.4342105263157895
3874,9,2,35,0.4605263157894737
3874,8,1,36,0.47368421052631576
3874,7,4,40,0.5263157894736842
3874,6,4,44,0.5789473684210527
3874,5,6,50,0.6578947368421053
3874,3,4,54,0.7105263157894737
3874,2,3,57,0.75
3874,1,12,69,0.9078947368421053
3874,0,7,76,1.0
3875,81,1,1,0.018518518518518517
3875,60,1,2,0.037037037037037035
3875,58,2,4,0.07407407407407407
3875,56,2,6,0.1111111111111111
3875,53,1,7,0.12962962962962962
3875,45,2,9,0.16666666666666666
3875,43,1,10,0.18518518518518517
3875,39,1,11,0.2037037037037037
3875,31,1,12,0.2222222222222222
3875,28,1,13,0.24074074074074073
3875,22,1,14,0.25925925925925924
3875,16,1,15,0.2777777777777778
3875,15,1,16,0.2962962962962963
3875,14,2,18,0.3333333333333333
3875,11,1,19,0.35185185185185186
3875,9,1,20,0.37037037037037035
3875,7,1,21,0.3888888888888889
3875,6,4,25,0.46296296296296297
3875,5,1,26,0.48148148148148145
3875,3,3,29,0.5370370370370371
3875,2,4,33,0.6111111111111112
3875,1,8,41,0.7592592592592593
3875,0,13,54,1.0
3876,110,1,1,0.022222222222222223
3876,87,1,2,0.044444444444444446
3876,58,1,3,0.06666666666666667
3876,55,1,4,0.08888888888888889
3876,53,1,5,0.1111111111111111
3876,49,1,6,0.13333333333333333
3876,48,1,7,0.15555555555555556
3876,45,1,8,0.17777777777777778
3876,41,1,9,0.2
3876,40,1,10,0.2222222222222222
3876,34,2,12,0.26666666666666666
3876,28,1,13,0.28888888888888886
3876,24,1,14,0.3111111111111111
3876,23,1,15,0.3333333333333333
3876,19,2,17,0.37777777777777777
3876,17,1,18,0.4
3876,13,2,20,0.4444444444444444
3876,11,2,22,0.4888888888888889
3876,9,1,23,0.5111111111111111
3876,8,1,24,0.5333333333333333
3876,6,1,25,0.5555555555555556
3876,5,3,28,0.6222222222222222
3876,4,1,29,0.6444444444444445
3876,3,3,32,0.7111111111111111
3876,2,1,33,0.7333333333333333
3876,1,5,38,0.8444444444444444
3876,0,7,45,1.0
3877,55,1,1,0.06666666666666667
3877,40,1,2,0.13333333333333333
3877,32,1,3,0.2
3877,29,1,4,0.26666666666666666
3877,17,1,5,0.3333333333333333
3877,14,1,6,0.4
3877,9,1,7,0.4666666666666667
3877,7,1,8,0.5333333333333333
3877,6,1,9,0.6
